aqstime,windir,winspd,radiation,temp,barometer,rh,innertemp,O3,NO,NO2,NOX,SO2,CO,PM10,PM25,PM1
07/01/2019 01:00,16.2658,0.434781,0.452146,26.7704,1016.62,91.484,27.0378,,,,,1.25959,483.646,,,
07/01/2019 02:00,502,0,0.453285,26.3979,1016.8,94.105,27.0373,,,,,1.44787,589.65,,,
07/01/2019 03:00,502,0,0.489581,26.0955,1016.95,94.632,27.0359,,,,,1.26951,563.84,,,
07/01/2019 04:00,502,0,0.483396,25.9674,1017.01,95.463,27.0363,,,,,1.26475,553.89,,,
07/01/2019 05:00,502,0,0.438637,25.6848,1017.16,97.387,27.0345,,,,,1.46217,845.82,,,
07/01/2019 06:00,502,0,0.429359,25.8727,1017.06,95.393,27.0347,,,,,1.75254,1593.73,,,
07/01/2019 07:00,,,65.429,26.5839,1016.71,89.726,27.0367,,,,,1.58531,2912.78,,,
07/01/2019 08:00,24.4201,0.51763,263.28,27.8162,1016.09,82.204,27.0409,,,,,1.56466,3316.61,,,
07/01/2019 09:00,50.257,0.75784,434.541,28.6442,1015.68,78.951,27.0427,,,,,1.35452,983.84,,,
07/01/2019 10:00,47.1756,0.74278,520.51,29.1633,1015.42,76.799,27.0384,,,,,1.23178,503.19,,,
07/01/2019 11:00,54.135,0.58138,587.26,30.2974,1014.85,71.482,27.0388,,,,,1.2576,616.81,,,
07/01/2019 12:00,43.9541,0.76198,640.49,30.6019,1014.7,69.813,27.0388,,,,,1.2147,622.33,,,
07/01/2019 13:00,46.494,0.6286,788.56,31.2202,1014.39,67.405,27.0383,,,,,1.16266,515.1,,,
07/01/2019 14:00,101.227,0.64648,646.02,31.113,1014.44,69.172,27.0469,,,,,1.38829,359.41,,,
07/01/2019 15:00,108.251,0.72837,534.52,31.0953,1014.45,69.649,27.0603,,,,,1.88045,289.705,,,
07/01/2019 16:00,103.468,0.68174,166.411,30.2035,1014.9,73.156,27.0643,,,,,2.14857,385.608,,,
07/01/2019 17:00,62.985,0.6542,67.017,28.9597,1015.52,77.157,27.0661,,,,,2.16446,522.43,,,
07/01/2019 18:00,44.862,0.53808,9.8564,28.1034,1015.95,80.7,27.0573,,,,,1.75334,588.68,,,
07/01/2019 19:00,318.97,0.250756,0.233557,27.7191,1016.14,83.412,27.0429,,,,,1.22503,653.98,,,
07/01/2019 20:00,52.13,0.465905,0.233231,27.3664,1016.32,86.147,27.0407,,,,,1.29415,748.37,,,
07/01/2019 21:00,58.441,0.6389,0.230953,27.3217,1016.33,85.839,27.0425,,,,,1.38352,352.708,,,
07/01/2019 22:00,84.014,0.64684,0.246903,27.4739,1016.26,84.659,27.0437,,,,,1.3001,290.503,,,
07/01/2019 23:00,38.7228,0.51578,0.297685,27.2748,1016.36,86.201,27.0458,,,,,1.41887,378.646,,,
08/01/2019 00:00,43.0387,0.59602,0.291826,27.1561,1016.42,87.515,27.0456,,,,,1.36247,357.326,,,
08/01/2019 01:00,33.5198,0.6333,0.488116,27.4341,1016.28,86.852,27.0459,,,,,1.47528,398.247,,,
08/01/2019 02:00,35.3641,0.442553,0.5039,27.211,1016.39,88.018,27.0468,,,,,1.54122,426.858,,,
08/01/2019 03:00,45.9161,0.63281,0.484861,27.4106,1016.3,87.438,27.0467,,,,,1.41927,258.281,,,
08/01/2019 04:00,18.0756,0.475595,0.65446,26.213,1016.9,99.433,27.0417,,,,,1.41967,252.639,,,
08/01/2019 05:00,33.2159,0.61668,0.62874,25.9382,1017.03,99.976,27.0392,,,,,1.42324,278.108,,,
08/01/2019 06:00,120.348,0.59358,0.59228,26.5011,1016.75,94.298,27.041,,,,,1.35413,417.865,,,
08/01/2019 07:00,91.33,0.165555,48.7741,26.5598,1016.72,93.386,27.0419,,,,,1.5587,1873.73,,,
08/01/2019 08:00,134.736,0.59621,105.649,27.8344,1016.08,86.948,27.0447,,,,,1.4721,1248.23,,,
08/01/2019 09:00,99.609,0.217244,157.228,27.9918,1016,87.288,27.0473,,,,,1.7291,1519.57,,,
08/01/2019 10:00,109.146,0.71092,254.068,28.5462,1015.73,83.357,27.0504,,,,,1.54201,482.17,,,
